,x,y,county,state
1,-91.1959,39.9909,ADAMS,Illinois
2,-89.3391,37.195,ALEXANDER,Illinois
3,-89.4437,38.8863,BOND,Illinois
4,-88.825,42.3223,BOONE,Illinois
5,-90.7561,39.9647,BROWN,Illinois
6,-89.535,41.4068,BUREAU,Illinois
7,-90.6701,39.1668,CALHOUN,Illinois
8,-89.9394,42.0706,CARROLL,Illinois
9,-90.2506,39.978,CASS,Illinois
10,-88.2038,40.1429,CHAMPAIGN,Illinois
11,-89.2845,39.5462,CHRISTIAN,Illinois
12,-87.7936,39.3362,CLARK,Illinois
13,-88.4949,38.7587,CLAY,Illinois
14,-89.4292,38.6057,CLINTON,Illinois
15,-88.2235,39.5226,COLES,Illinois
16,-87.8211,41.8435,COOK,Illinois
17,-87.7691,39.0065,CRAWFORD,Illinois
18,-88.2421,39.2768,CUMBERLAND,Illinois
19,-88.7759,41.8958,DE KALB,Illinois
20,-88.9075,40.1798,DE WITT,Illinois
21,-88.2211,39.7719,DOUGLAS,Illinois
22,-88.0922,41.8557,DU PAGE,Illinois
23,-87.7487,39.6829,EDGAR,Illinois
24,-88.0571,38.4199,EDWARDS,Illinois
25,-88.5927,39.0611,EFFINGHAM,Illinois
26,-89.0309,39.0013,FAYETTE,Illinois
27,-88.2272,40.6042,FORD,Illinois
28,-88.9279,37.9958,FRANKLIN,Illinois
29,-90.2115,40.4773,FULTON,Illinois
30,-88.2328,37.7693,GALLATIN,Illinois
31,-90.393,39.3587,GREENE,Illinois
32,-88.4254,41.2877,GRUNDY,Illinois
33,-88.5424,38.0852,HAMILTON,Illinois
34,-91.1723,40.4074,HANCOCK,Illinois
35,-88.2719,37.5223,HARDIN,Illinois
36,-90.9308,40.822,HENDERSON,Illinois
37,-90.1379,41.3549,HENRY,Illinois
38,-87.8292,40.7496,IROQUOIS,Illinois
39,-89.3897,37.7852,JACKSON,Illinois
40,-88.1597,39.0155,JASPER,Illinois
41,-88.9278,38.3012,JEFFERSON,Illinois
42,-90.3616,39.0845,JERSEY,Illinois
43,-90.2127,42.3663,JO DAVIESS,Illinois
44,-88.8853,37.4656,JOHNSON,Illinois
45,-88.434,41.9406,KANE,Illinois
46,-87.8651,41.1412,KANKAKEE,Illinois
47,-88.4364,41.5916,KENDALL,Illinois
48,-90.2199,40.9337,KNOX,Illinois
49,-88.0034,42.3201,LAKE,Illinois
50,-88.8937,41.3459,LA SALLE,Illinois
51,-87.7344,38.7252,LAWRENCE,Illinois
52,-89.3042,41.7483,LEE,Illinois
53,-88.5635,40.8956,LIVINGSTON,Illinois
54,-89.3741,40.1276,LOGAN,Illinois
55,-90.6848,40.4578,MC DONOUGH,Illinois
56,-88.454,42.3238,MC HENRY,Illinois
